Description,ID,Location,Sherrifs,Date
UNDER THE INFLUENCE,190600076,1000 BLOCK E PACIFIC ST,San Bernardino County Sheriff,3/1/2019 21:56
DRUNKENNESS,2019-00026415,BASELINE ST & SEPULVEDA AVE,San Bernardino Police,3/1/2019 4:20
ASSAULT - AGGRAVATED,2019-00026412,ARROWHEAD AVE & 9TH ST,San Bernardino Police,3/1/2019 2:00
THEFT- MOTOR VEHICLE,2019-00026396,800 BLOCK WATERMAN AVE,San Bernardino Police,3/1/2019 0:55
ASSAULT - AGGRAVATED,2019-00026353,9TH ST & DEL ROSA AVE,San Bernardino Police,2/28/2019 23:30
THEFT- MOTOR VEHICLE,2019-00026321,500 BLOCK GRAY ST,San Bernardino Police,2/28/2019 22:32
DRUNKENNESS,2019-00026287,200 BLOCK MTN VIEW AVE,San Bernardino Police,2/28/2019 21:20
ASSAULT - AGGRAVATED,2019-00026288,1500 BLOCK WATERMAN AVE,San Bernardino Police,2/28/2019 20:30
THEFT- MOTOR VEHICLE,2019-00026443,200 BLOCK KING ST,San Bernardino Police,2/28/2019 19:00
ADW - OTHER DANGEROUS WEAPON,190590068,25200 BLOCK BESSANT ST,San Bernardino County Sheriff,2/28/2019 16:43
RAPE - FORCIBLE,2019-00026252,700 BLOCK D ST,San Bernardino Police,2/28/2019 13:10
GRAND THEFT FROM A STORE OVER (OVER $950),2019,7100 BLOCK VICTORIA AVE,Highland Police,2/28/2019 10:33
SHOPLIFTING,2019-00025927,900 BLOCK MILL ST,San Bernardino Police,2/28/2019 5:38
THEFT - FROM VEH,2019-00025937,600 BLOCK H ST,San Bernardino Police,2/28/2019 5:10
DRUNKENNESS,2019-00025839,ORANGE ST & WATERMAN AVE,San Bernardino Police,2/27/2019 23:46
UNDER THE INFLUENCE,190600076,1000 BLOCK E PACIFIC ST,San Bernardino County Sheriff,3/1/2019 21:56
GRAND THEFT FROM A STORE OVER (OVER $950),190590051,7100 BLOCK VICTORIA AVE,Highland Police,2/28/2019 10:33
THEFT- MOTOR VEHICLE,2019-00026321,500 BLOCK GRAY ST,San Bernardino Police,2/28/2019 22:32
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025838,900 BLOCK MILL ST,San Bernardino Police,2/27/2019 23:39
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025762,800 BLOCK DAVIDSON AVE,San Bernardino Police,2/27/2019 18:00
SHOPLIFTING,2019-00025791,200 BLOCK WATERMAN AVE,San Bernardino Police,2/27/2019 16:39
ROBBERY,2019-00025733,100 BLOCK F ST,San Bernardino Police,2/27/2019 16:20
ASSAULT - AGGRAVATED,2019-00025733,100 BLOCK F ST,San Bernardino Police,2/27/2019 16:20
ROBBERY,2019-00025672,BASELINE ST & BARTON ST,San Bernardino Police,2/27/2019 14:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025582,300 BLOCK WATERMAN AVE,San Bernardino Police,2/27/2019 11:59
THEFT - ALL OTHER,2019-00026076,1100 BLOCK MILL ST,San Bernardino Police,2/27/2019 8:00
BURGLARY/BREAKING & ENTERING,2019-00025420,1200 BLOCK WATERMAN AVE,San Bernardino Police,2/27/2019 6:03
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025424,1000 BLOCK PERSHING AVE,San Bernardino Police,2/27/2019 5:25
BURGLARY/BREAKING & ENTERING,2019-00025406,600 BLOCK BASELINE ST,San Bernardino Police,2/27/2019 4:01
POSS OF CONTROLLED SUBSTANCE,190580002,N CONEJO DR / E BASELINE ST,Highland Police,2/27/2019 0:32
UNDER THE INFLUENCE,190570089,24200 BLOCK MONTEREY AVE,San Bernardino County Sheriff,2/26/2019 22:51
ASSAULT - AGGRAVATED,2019-00025349,800 BLOCK TIPPECANOE AVE,San Bernardino Police,2/26/2019 22:00
ROBBERY,2019-00025344,100 BLOCK 9TH ST,San Bernardino Police,2/26/2019 21:20
ASSAULT - SIMPLE (NO MED NEEDED),,,,
SHOPLIFTING,2019-00025791,200 BLOCK WATERMAN AVE,,
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025328,700 BLOCK 8TH ST,San Bernardino Police,2/26/2019 20:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025300,400 BLOCK RIALTO AVE,San Bernardino Police,2/26/2019 19:30
THEFT - FROM BUILDING,2019-00025355,2600 BLOCK 7TH ST,San Bernardino Police,2/26/2019 18:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025278,1000 BLOCK TIAJUANA ST,San Bernardino Police,2/26/2019 18:00
"ASSAULT-SIMPLE, HANDS, FIST, FEET",190570067,25100 BLOCK PACIFIC ST,San Bernardino County Sheriff,2/26/2019 17:32
ASSAULT - AGGRAVATED,2019-00025243,2700 BLOCK 2ND ST,San Bernardino Police,2/26/2019 16:00
ROBBERY,2019-00025235,400 BLOCK WATERMAN AVE,San Bernardino Police,2/26/2019 15:48
THEFT - FROM VEH,2019-00025480,300 BLOCK I ST,San Bernardino Police,2/26/2019 15:00
THEFT - ALL OTHER,2019-00025184,900 BLOCK WESTERN AVE,San Bernardino Police,2/26/2019 14:10
BURGLARY/BREAKING & ENTERING,2019-00025167,16TH ST & GENEVIEVE ST,San Bernardino Police,2/26/2019 14:05
THEFT - ALL OTHER,2019-00025170,2ND ST & MERIDIAN AVE,San Bernardino Police,2/26/2019 13:40
GTA - AUTO,190570030,25500 BLOCK JANE ST,Highland Police,2/26/2019 9:52
ASSAULT - SIMPLE (NO MED NEEDED),2019-00025001,800 BLOCK MAYFIELD AVE,San Bernardino Police,2/26/2019 9:40
ROBBERY,2019-00024962,500 BLOCK INLAND CENTER DR,San Bernardino Police,2/26/2019 9:00
BURGLARY/BREAKING & ENTERING,2019-00025421,1100 BLOCK D ST,San Bernardino Police,2/26/2019 7:30
ASSAULT - AGGRAVATED,2019-00024921,200 BLOCK 8TH ST,San Bernardino Police,2/26/2019 7:10
ASSAULT - AGGRAVATED,2019-00024890,1200 BLOCK F ST,San Bernardino Police,2/26/2019 3:22
MISC NARCOTIC MISD,190570005,E BASELINE ST / N CANYON RD,San Bernardino County Sheriff,2/26/2019 2:31
ROBBERY,2019-00024879,600 BLOCK 6TH ST,San Bernardino Police,2/26/2019 2:23
THEFT- MOTOR VEHICLE,2019-00024876,200 BLOCK 11TH ST,San Bernardino Police,2/26/2019 1:25
ASSAULT - SIMPLE (NO MED NEEDED),2019-00024891,1000 BLOCK 9TH ST,San Bernardino Police,2/26/2019 1:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00024849,1000 BLOCK PERSHING AVE,San Bernardino Police,2/25/2019 23:30
ASSAULT - AGGRAVATED,2019-00026376,1080 E 9 ST,San Bernardino Police,2/25/2019 22:00
ASSAULT - AGGRAVATED,2019-00024878,100 BLOCK BASELINE ST,San Bernardino Police,2/25/2019 21:00
ASSAULT - AGGRAVATED,2019-00024775,600 BLOCK 9TH ST,San Bernardino Police,2/25/2019 19:30
ROBBERY,2019-00024775,600 BLOCK 9TH ST,San Bernardino Police,2/25/2019 19:30
ASSAULT - SIMPLE (NO MED NEEDED),2019-00024742,700 BLOCK D ST,San Bernardino Police,2/25/2019 16:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00024719,2200 BLOCK CHESTNUT ST,San Bernardino Police,2/25/2019 15:45
AUTO BURGLARY,190560037,600 BLOCK E 3RD ST,San Bernardino County Sheriff,2/25/2019 14:36
GTA - TRUCK OR MOTORHOME,190560054,26200 BLOCK 9TH ST,Highland Police,2/25/2019 12:09
"OTHER, YARD, RESIDENCE, ETC",190570064,7000 BLOCK VICTORIA AVE,Highland Police,2/25/2019 11:45
THEFT - FROM VEH,2019-00026186,600 BLOCK 9TH ST,San Bernardino Police,2/25/2019 11:00
THEFT - ALL OTHER,2019-00024661,1300 BLOCK D ST,San Bernardino Police,2/25/2019 10:15
GTA - AUTO,190560035,7100 BLOCK DEL ROSA AVE,Highland Police,2/25/2019 10:14
SHOPLIFTING,190560014,25100 BLOCK E BASELINE ST,San Bernardino County Sheriff,2/25/2019 9:14
THEFT- MOTOR VEHICLE,2019-00024489,200 BLOCK MERIDIAN AVE,San Bernardino Police,2/25/2019 7:17
BURGLARY/BREAKING & ENTERING,2019-00024493,800 BLOCK E ST,San Bernardino Police,2/25/2019 6:25
THEFT- MOTOR VEHICLE,2019-00024458,100 BLOCK MT VERNON AVE,San Bernardino Police,2/25/2019 2:47
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-00024598,100 BLOCK BASELINE ST,San Bernardino Police,2/25/2019 2:00
ASSAULT - AGGRAVATED,2019-00024430,MT VERNON AVE & GRANT AVE,San Bernardino Police,2/25/2019 0:25
VANDALISM/DESTRUCTION/DAMAGE OF PROPERTY,2019-03000552,700 BLOCK MILL ST,San Bernardino Police,2/24/2019 23:45
ARSON,2019-00024420,700 BLOCK MILL ST,San Bernardino Police,2/24/2019 23:25
ASSAULT - AGGRAVATED,2019-00024416,700 BLOCK H ST,San Bernardino Police,2/24/2019 22:40
THEFT- MOTOR VEHICLE,2019-00024390,700 BLOCK 5TH ST,San Bernardino Police,2/24/2019 21:00
ASSAULT - AGGRAVATED,2019-00024763,400 BLOCK 3RD ST,San Bernardino Police,2/24/2019 20:30
THEFT- MOTOR VEHICLE,2019-00024465,1400 BLOCK ROXBURY DR,San Bernardino Police,2/24/2019 20:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00024792,K ST & 14TH ST,San Bernardino Police,2/24/2019 20:00
"ASSAULT-SIMPLE, HANDS, FIST, FEET",190550103,25500 BLOCK JANE ST,Highland Police,2/24/2019 19:49
